,rat_id,study_day,condition,treatment,trial_num,total_sleep_duration,total_awake_duration,total_nrem_duration,total_rem_duration,counts_wake,counts_nrem,counts_rem,wake_normalized,nrem_normalized,rem_normalized,nrem_percentage,rem_percentage
92,3,4,OD,0,5,5519.0,5205.0,4083.0,911.0,25,21,14,0.48535994032077584,0.38073480044759417,0.08494964565460648,0.7398079362203298,0.16506613516941476
93,3,4,OD,0,2,43.0,2654.0,43.0,0.0,2,1,0,0.9840563589173156,0.015943641082684465,0.0,1.0,0.0
94,3,4,OD,0,1,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
95,3,1,OR,1,5,5538.0,5192.0,4639.0,577.0,26,25,8,0.4838769804287046,0.43233923578751166,0.0537744641192917,0.8376670278078728,0.10418923799205489
96,3,1,OR,1,3,693.0,2004.0,693.0,0.0,2,1,0,0.743047830923248,0.25695216907675195,0.0,1.0,0.0
97,3,1,OR,1,1,668.0,2024.0,668.0,0.0,4,3,0,0.7518573551263001,0.24814264487369986,0.0,1.0,0.0
98,3,1,OR,1,2,284.0,2408.0,284.0,0.0,4,3,0,0.8945022288261516,0.10549777117384844,0.0,1.0,0.0
99,3,1,OR,1,4,1594.0,1085.0,1464.0,78.0,9,9,1,0.4050018663680478,0.5464725643896976,0.029115341545352745,0.918444165621079,0.04893350062735257
100,3,5,HC,0,2,283.0,2403.0,283.0,0.0,7,6,0,0.8946388682055101,0.10536113179448994,0.0,1.0,0.0
101,3,5,HC,0,1,981.0,1702.0,912.0,45.0,8,7,1,0.6343645173313455,0.33991800223630264,0.016772269847185987,0.9296636085626911,0.045871559633027525
102,3,5,HC,0,5,6866.0,3839.0,5324.0,865.0,33,31,11,0.35861746847267634,0.497337692666978,0.08080336291452592,0.775415088843577,0.12598310515584038
103,3,5,HC,0,3,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
104,3,5,HC,0,4,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
105,3,3,OR,0,5,5320.0,5397.0,3964.0,921.0,31,23,12,0.503592423252776,0.3698796304936083,0.08593822898199123,0.7451127819548872,0.1731203007518797
106,3,3,OR,0,4,1931.0,745.0,1649.0,137.0,8,8,2,0.27840059790732435,0.6162182361733931,0.051195814648729444,0.8539616778871051,0.0709476954945624
107,3,3,OR,0,3,1044.0,1623.0,958.0,45.0,15,14,2,0.608548931383577,0.35920509936257966,0.01687289088863892,0.9176245210727969,0.04310344827586207
108,3,3,OR,0,2,1156.0,1524.0,1024.0,68.0,8,8,1,0.5686567164179105,0.382089552238806,0.025373134328358207,0.8858131487889274,0.058823529411764705
109,3,3,OR,0,1,0.0,2702.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
110,3,16,OR,1,5,4213.0,6549.0,3439.0,440.0,21,20,7,0.6085300130087344,0.3195502694666419,0.040884593941646535,0.8162829337764064,0.10443864229765012
111,3,16,OR,1,2,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
112,3,16,OR,1,3,1513.0,1161.0,1294.0,167.0,11,10,3,0.4341810022438295,0.4839192221391174,0.062453253552729994,0.8552544613350959,0.11037673496364839
113,3,16,OR,1,1,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
114,3,16,OR,1,4,1506.0,1185.0,1339.0,94.0,3,3,1,0.4403567447045708,0.4975845410628019,0.03493125232255667,0.8891102257636122,0.06241699867197875
115,4,4,OD,1,5,6253.0,4490.0,5083.0,1110.0,14,11,11,0.41794656985944334,0.47314530391883086,0.10332309410779111,0.8128898128898129,0.17751479289940827
116,4,4,OD,1,1,171.0,2524.0,171.0,0.0,3,2,0,0.9365491651205937,0.06345083487940631,0.0,1.0,0.0
117,4,4,OD,1,3,1226.0,1460.0,1207.0,15.0,6,5,1,0.5435591958302308,0.44936708860759494,0.005584512285927029,0.9845024469820555,0.012234910277324634
118,4,4,OD,1,4,559.0,2134.0,559.0,0.0,4,3,0,0.79242480505013,0.20757519494987003,0.0,1.0,0.0
119,4,4,OD,1,2,904.0,1786.0,904.0,0.0,5,5,0,0.6639405204460966,0.33605947955390336,0.0,1.0,0.0
